q_a	omega_a		q_b	omega_b		omega_tot
0	1.00e+00	100	4.53e+58	4.53e+58
1	2.00e+02	99	2.28e+58	4.55e+60
2	2.01e+04	98	1.14e+58	2.29e+62
3	1.35e+06	97	5.66e+57	7.66e+63
4	6.87e+07	96	2.80e+57	1.92e+65
5	2.80e+09	95	1.38e+57	3.86e+66
6	9.57e+10	94	6.75e+56	6.46e+67
7	2.82e+12	93	3.29e+56	9.27e+68
8	7.29e+13	92	1.59e+56	1.16e+70
9	1.68e+15	91	7.67e+55	1.29e+71
10	3.52e+16	90	3.67e+55	1.29e+72
11	6.72e+17	89	1.75e+55	1.18e+73
12	1.18e+19	88	8.28e+54	9.79e+73
13	1.93e+20	87	3.90e+54	7.51e+74
14	2.93e+21	86	1.82e+54	5.35e+75
15	4.18e+22	85	8.48e+53	3.55e+76
16	5.62e+23	84	3.92e+53	2.20e+77
17	7.14e+24	83	1.80e+53	1.28e+78
18	8.61e+25	82	8.20e+52	7.06e+78
19	9.88e+26	81	3.71e+52	3.67e+79
20	1.08e+28	80	1.67e+52	1.81e+80
21	1.13e+29	79	7.47e+51	8.47e+80
22	1.14e+30	78	3.31e+51	3.77e+81
23	1.10e+31	77	1.46e+51	1.61e+82
24	1.02e+32	76	6.39e+50	6.53e+82
25	9.15e+32	75	2.78e+50	2.54e+83
26	7.92e+33	74	1.20e+50	9.47e+83
27	6.63e+34	73	5.12e+49	3.39e+84
28	5.37e+35	72	2.17e+49	1.17e+85
29	4.22e+36	71	9.14e+48	3.86e+85
30	3.23e+37	70	3.82e+48	1.23e+86
31	2.39e+38	69	1.58e+48	3.78e+86
32	1.73e+39	68	6.50e+47	1.12e+87
33	1.21e+40	67	2.65e+47	3.21e+87
34	8.32e+40	66	1.07e+47	8.88e+87
35	5.56e+41	65	4.27e+46	2.38e+88
36	3.63e+42	64	1.69e+46	6.15e+88
37	2.32e+43	63	6.65e+45	1.54e+89
38	1.44e+44	62	2.58e+45	3.73e+89
39	8.82e+44	61	9.95e+44	8.78e+89
40	5.27e+45	60	3.79e+44	2.00e+90
41	3.08e+46	59	1.43e+44	4.42e+90
42	1.77e+47	58	5.35e+43	9.46e+90
43	9.96e+47	57	1.98e+43	1.97e+91
44	5.50e+48	56	7.22e+42	3.97e+91
45	2.98e+49	55	2.61e+42	7.78e+91
46	1.59e+50	54	9.31e+41	1.48e+92
47	8.31e+50	53	3.29e+41	2.73e+92
48	4.28e+51	52	1.15e+41	4.90e+92
49	2.17e+52	51	3.95e+40	8.55e+92
50	1.08e+53	50	1.34e+40	1.45e+93
51	5.29e+53	49	4.50e+39	2.38e+93
52	2.55e+54	48	1.49e+39	3.80e+93
53	1.21e+55	47	4.87e+38	5.91e+93
54	5.68e+55	46	1.57e+38	8.91e+93
55	2.62e+56	45	4.97e+37	1.30e+94
56	1.20e+57	44	1.55e+37	1.86e+94
57	5.37e+57	43	4.78e+36	2.57e+94
58	2.38e+58	42	1.45e+36	3.44e+94
59	1.04e+59	41	4.31e+35	4.48e+94
60	4.49e+59	40	1.26e+35	5.67e+94
61	1.91e+60	39	3.63e+34	6.95e+94
62	8.06e+60	38	1.03e+34	8.27e+94
63	3.35e+61	37	2.85e+33	9.54e+94
64	1.38e+62	36	7.75e+32	1.07e+95
65	5.59e+62	35	2.07e+32	1.16e+95
66	2.25e+63	34	5.40e+31	1.21e+95
67	8.91e+63	33	1.38e+31	1.23e+95
68	3.50e+64	32	3.45e+30	1.21e+95
69	1.36e+65	31	8.43e+29	1.15e+95
70	5.22e+65	30	2.01e+29	1.05e+95
71	1.99e+66	29	4.67e+28	9.28e+94
72	7.48e+66	28	1.06e+28	7.92e+94
73	2.79e+67	27	2.33e+27	6.50e+94
74	1.03e+68	26	5.00e+26	5.14e+94
75	3.75e+68	25	1.04e+26	3.91e+94
76	1.36e+69	24	2.10e+25	2.85e+94
77	4.87e+69	23	4.09e+24	1.99e+94
78	1.73e+70	22	7.72e+23	1.33e+94
79	6.09e+70	21	1.40e+23	8.54e+93
80	2.12e+71	20	2.46e+22	5.21e+93
81	7.34e+71	19	4.13e+21	3.03e+93
82	2.51e+72	18	6.64e+20	1.67e+93
83	8.54e+72	17	1.02e+20	8.73e+92
84	2.88e+73	16	1.50e+19	4.31e+92
85	9.62e+73	15	2.08e+18	2.00e+92
86	3.19e+74	14	2.74e+17	8.74e+91
87	1.05e+75	13	3.40e+16	3.56e+91
88	3.42e+75	12	3.94e+15	1.35e+91
89	1.11e+76	11	4.26e+14	4.71e+90
90	3.55e+76	10	4.26e+13	1.51e+90
91	1.13e+77	9	3.91e+12	4.43e+89
92	3.58e+77	8	3.26e+11	1.17e+89
93	1.12e+78	7	2.44e+10	2.74e+88
94	3.50e+78	6	1.61e+09	5.64e+87
95	1.08e+79	5	9.20e+07	9.97e+86
96	3.33e+79	4	4.42e+06	1.47e+86
97	1.02e+80	3	1.72e+05	1.75e+85
98	3.08e+80	2	5.05e+03	1.56e+84
99	9.27e+80	1	1.00e+02	9.27e+82
100	2.77e+81	0	1.00e+00	2.77e+81
