q_a	omega_a		S_a/k	q_b	omega_b		S_b/k		omega_tot	S_tot/k
0	1.00e+00	0.00	100	4.53e+58	135.06		4.53e+58	135.06
1	2.00e+02	5.30	99	2.28e+58	134.37		4.55e+60	139.67
2	2.01e+04	9.91	98	1.14e+58	133.68		2.29e+62	143.59
3	1.35e+06	14.12	97	5.66e+57	132.98		7.66e+63	147.10
4	6.87e+07	18.05	96	2.80e+57	132.28		1.92e+65	150.32
5	2.80e+09	21.75	95	1.38e+57	131.57		3.86e+66	153.32
6	9.57e+10	25.28	94	6.75e+56	130.85		6.46e+67	156.14
7	2.82e+12	28.67	93	3.29e+56	130.14		9.27e+68	158.80
8	7.29e+13	31.92	92	1.59e+56	129.41		1.16e+70	161.33
9	1.68e+15	35.06	91	7.67e+55	128.68		1.29e+71	163.74
10	3.52e+16	38.10	90	3.67e+55	127.94		1.29e+72	166.04
11	6.72e+17	41.05	89	1.75e+55	127.20		1.18e+73	168.25
12	1.18e+19	43.92	88	8.28e+54	126.45		9.79e+73	170.37
13	1.93e+20	46.71	87	3.90e+54	125.70		7.51e+74	172.41
14	2.93e+21	49.43	86	1.82e+54	124.94		5.35e+75	174.37
15	4.18e+22	52.09	85	8.48e+53	124.17		3.55e+76	176.26
16	5.62e+23	54.69	84	3.92e+53	123.40		2.20e+77	178.09
17	7.14e+24	57.23	83	1.80e+53	122.62		1.28e+78	179.85
18	8.61e+25	59.72	82	8.20e+52	121.84		7.06e+78	181.56
19	9.88e+26	62.16	81	3.71e+52	121.05		3.67e+79	183.20
20	1.08e+28	64.55	80	1.67e+52	120.25		1.81e+80	184.80
21	1.13e+29	66.90	79	7.47e+51	119.44		8.47e+80	186.34
22	1.14e+30	69.21	78	3.31e+51	118.63		3.77e+81	187.84
23	1.10e+31	71.47	77	1.46e+51	117.81		1.61e+82	189.29
24	1.02e+32	73.70	76	6.39e+50	116.98		6.53e+82	190.69
25	9.15e+32	75.90	75	2.78e+50	116.15		2.54e+83	192.05
26	7.92e+33	78.05	74	1.20e+50	115.31		9.47e+83	193.36
27	6.63e+34	80.18	73	5.12e+49	114.46		3.39e+84	194.64
28	5.37e+35	82.27	72	2.17e+49	113.60		1.17e+85	195.87
29	4.22e+36	84.33	71	9.14e+48	112.74		3.86e+85	197.07
30	3.23e+37	86.37	70	3.82e+48	111.86		1.23e+86	198.23
31	2.39e+38	88.37	69	1.58e+48	110.98		3.78e+86	199.35
32	1.73e+39	90.35	68	6.50e+47	110.09		1.12e+87	200.44
33	1.21e+40	92.30	67	2.65e+47	109.19		3.21e+87	201.49
34	8.32e+40	94.22	66	1.07e+47	108.29		8.88e+87	202.51
35	5.56e+41	96.12	65	4.27e+46	107.37		2.38e+88	203.49
36	3.63e+42	98.00	64	1.69e+46	106.45		6.15e+88	204.44
37	2.32e+43	99.85	63	6.65e+45	105.51		1.54e+89	205.36
38	1.44e+44	101.68	62	2.58e+45	104.57		3.73e+89	206.25
39	8.82e+44	103.49	61	9.95e+44	103.61		8.78e+89	207.10
40	5.27e+45	105.28	60	3.79e+44	102.65		2.00e+90	207.93
41	3.08e+46	107.05	59	1.43e+44	101.67		4.42e+90	208.72
42	1.77e+47	108.79	58	5.35e+43	100.69		9.46e+90	209.48
43	9.96e+47	110.52	57	1.98e+43	99.69		1.97e+91	210.21
44	5.50e+48	112.23	56	7.22e+42	98.69		3.97e+91	210.91
45	2.98e+49	113.92	55	2.61e+42	97.67		7.78e+91	211.59
46	1.59e+50	115.59	54	9.31e+41	96.64		1.48e+92	212.23
47	8.31e+50	117.25	53	3.29e+41	95.60		2.73e+92	212.84
48	4.28e+51	118.89	52	1.15e+41	94.54		4.90e+92	213.43
49	2.17e+52	120.51	51	3.95e+40	93.48		8.55e+92	213.98
50	1.08e+53	122.11	50	1.34e+40	92.40		1.45e+93	214.51
51	5.29e+53	123.70	49	4.50e+39	91.31		2.38e+93	215.01
52	2.55e+54	125.28	48	1.49e+39	90.20		3.80e+93	215.48
53	1.21e+55	126.84	47	4.87e+38	89.08		5.91e+93	215.92
54	5.68e+55	128.38	46	1.57e+38	87.95		8.91e+93	216.33
55	2.62e+56	129.91	45	4.97e+37	86.80		1.30e+94	216.71
56	1.20e+57	131.43	44	1.55e+37	85.64		1.86e+94	217.06
57	5.37e+57	132.93	43	4.78e+36	84.46		2.57e+94	217.39
58	2.38e+58	134.42	42	1.45e+36	83.26		3.44e+94	217.68
59	1.04e+59	135.89	41	4.31e+35	82.05		4.48e+94	217.94
60	4.49e+59	137.35	40	1.26e+35	80.82		5.67e+94	218.18
61	1.91e+60	138.80	39	3.63e+34	79.58		6.95e+94	218.38
62	8.06e+60	140.24	38	1.03e+34	78.31		8.27e+94	218.56
63	3.35e+61	141.67	37	2.85e+33	77.03		9.54e+94	218.70
64	1.38e+62	143.08	36	7.75e+32	75.73		1.07e+95	218.81
65	5.59e+62	144.48	35	2.07e+32	74.41		1.16e+95	218.89
66	2.25e+63	145.87	34	5.40e+31	73.07		1.21e+95	218.94
67	8.91e+63	147.25	33	1.38e+31	71.70		1.23e+95	218.95
68	3.50e+64	148.62	32	3.45e+30	70.32		1.21e+95	218.93
69	1.36e+65	149.98	31	8.43e+29	68.91		1.15e+95	218.88
70	5.22e+65	151.32	30	2.01e+29	67.47		1.05e+95	218.79
71	1.99e+66	152.66	29	4.67e+28	66.01		9.28e+94	218.67
72	7.48e+66	153.98	28	1.06e+28	64.53		7.92e+94	218.51
73	2.79e+67	155.30	27	2.33e+27	63.02		6.50e+94	218.32
74	1.03e+68	156.60	26	5.00e+26	61.48		5.14e+94	218.08
75	3.75e+68	157.90	25	1.04e+26	59.91		3.91e+94	217.81
76	1.36e+69	159.18	24	2.10e+25	58.31		2.85e+94	217.49
77	4.87e+69	160.46	23	4.09e+24	56.67		1.99e+94	217.13
78	1.73e+70	161.73	22	7.72e+23	55.00		1.33e+94	216.73
79	6.09e+70	162.99	21	1.40e+23	53.30		8.54e+93	216.28
80	2.12e+71	164.24	20	2.46e+22	51.56		5.21e+93	215.79
81	7.34e+71	165.48	19	4.13e+21	49.77		3.03e+93	215.25
82	2.51e+72	166.71	18	6.64e+20	47.95		1.67e+93	214.65
83	8.54e+72	167.93	17	1.02e+20	46.07		8.73e+92	214.00
84	2.88e+73	169.15	16	1.50e+19	44.15		4.31e+92	213.30
85	9.62e+73	170.35	15	2.08e+18	42.18		2.00e+92	212.53
86	3.19e+74	171.55	14	2.74e+17	40.15		8.74e+91	211.70
87	1.05e+75	172.74	13	3.40e+16	38.06		3.56e+91	210.80
88	3.42e+75	173.92	12	3.94e+15	35.91		1.35e+91	209.83
89	1.11e+76	175.10	11	4.26e+14	33.69		4.71e+90	208.78
90	3.55e+76	176.26	10	4.26e+13	31.38		1.51e+90	207.65
91	1.13e+77	177.42	9	3.91e+12	28.99		4.43e+89	206.42
92	3.58e+77	178.57	8	3.26e+11	26.51		1.17e+89	205.08
93	1.12e+78	179.72	7	2.44e+10	23.92		2.74e+88	203.63
94	3.50e+78	180.86	6	1.61e+09	21.20		5.64e+87	202.05
